Location,Year,Yield,July_NDVI,July_RVI,July_Precip,July_GDD,Max_NDVI,Max_RVI,Max_Temp
-100.55_41.14,2015,185.0,,2.3584332463436577,115.41475423726857,415.93481357190285,0.2565076392227681,2.592646477187231,27.838124410999427
-100.55_41.14,2016,168.1,0.37363973381921084,2.3275952204506596,115.01193445925833,432.61310168972534,0.5429272071593875,2.624102064525326,28.77099963385414
-100.55_41.14,2017,168.4,0.371181215038297,2.345445402543801,64.69847170255531,493.03894395651565,0.47286624998587384,2.620257008767733,29.78614909155104
-100.55_41.14,2018,182.6,0.4630740063638753,2.407986690533631,114.13790182193986,425.6726361798736,0.5699641912377968,2.626639446871578,29.060743684579776
-100.55_41.14,2019,177.5,0.48165003536464807,2.3726718076552076,120.15874675264322,447.3438407119504,0.565503391811886,2.6367981792616235,28.752835855351538
-100.55_41.14,2020,155.4,0.43380761190620853,2.3989523050418176,47.687356035522534,481.85343271605893,0.4719359162249605,2.620642632278802,29.49497877299269
-100.55_41.14,2021,191.9,0.40547266621510114,2.359123185579443,30.836131114800345,476.89567352226845,0.4762405852746781,2.601065444493145,29.9246189307066
-100.55_41.14,2022,165.6,0.36868923114929825,2.383082530959175,53.05718889028563,502.3289468358724,0.4256411414707011,2.5893540481592816,31.383175491927805
-100.55_41.14,2023,189.7,0.5383565895747923,2.3828951692182248,70.24739308227763,418.936289215166,0.5623451229455765,2.765908893153209,32.02119257368302
-100.55_41.14,2024,,0.5109873871151712,2.3546168745629554,47.6793371296184,439.70154565936076,0.534289111712253,2.69686305941014,29.87184383578538
-100.6_41.15,2015,185.0,,2.36699968920282,112.21831598385002,415.9163403708238,0.24892548807855994,2.5995143268086203,27.847929596708042
-100.6_41.15,2016,168.1,0.3801809937745194,2.3408006624658824,110.42091909473054,432.0420643160363,0.5426744075419597,2.621070879704999,28.721700299533335
-100.6_41.15,2017,168.4,0.4018236820316262,2.346154379269024,63.17635052220365,492.9506696698235,0.46749934385492836,2.632062530066037,29.733240909234024
